# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

21. The evidence would seem to indicate that,
A. the author adores his wife,
B. he disapproves of her ways,
C. he thinks she is extravagant,
D. the author regrets the cause of his debt,
E. she had not been properly brought up,
"22. When the author said My anti-Western revolt was gaining momentum' (line 7), he was referring to the fact",
that,
А. he did not like polygamy,
B. he hated Europeans,
C. he did not want to marry another wife,
D. he admired everything about his wife,
E. he revolted against European values,
www.myschoolgist.com,
23. It would appear that the marriage had turned him into,
A. a good worker B. a faithful husband,
C. an incurable debtor,
D. a tragic figure,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

E. a proud husband,
24. Which one of the following is NOT true of the passage?,
A. The lady was beautiful,
B. The marriage cost a lot of money,
C. The marriage was according to native law and custom,
D. Fatmata never had an issue,
E. The author wanted another wife,
25. 'swelling' (line 6) means,
A. jovial,
B. great,
C. remarkable,
D. happy,
E. growing,
Choose the option that best conveys the meaning of the underlined portion in the following sentence;,
"26. In the match against the uplanders team, the sub mariners turned out to be the dark horse",
A. played most brilliantly,
B. played below their usual form,
C. won unexpectedly,
D. lost as expected,
E. won as expected,
27. Only the small fry get punished for such social misdemeanors,
A. small boys,
B. unimportant people,
C. frightened people,
D. frivolous people,
E. inexperienced people,
28. He spoke with his heart in his mouth,
A. courageously,
B. with such unusual cowardice,
C. with a lot of confusion in his speech,
D. without being able to make up his mind,
E. with fright and agitation,
29. The leader in today's issue of our popular newspaper focuses on inflation,www.myschoolgist.com
A. president,
B. headline,
C. editorial,
D. columnist,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

E. proprietor,
"30. From the ways my friend talks, you can see he is such a bore",
A. rude,
B. brilliant,
C. uninteresting,
D. overbearing,
E. humorous,
31. His jail terms were to run concurrently,
A. simultaneously,
B. uniformly,
C. laboriously,
D. consecutively,
E. judiciously,
32. There is some obvious symmetry in the whole presentation,
A. confusion,
B. hesitation,
C. excitement,
D. orderliness,
E. dissatisfaction,
33. The bill has to wait as we are now insolvent,
A. overworked,
B. bankrupt,
C. unsettled,
D. insoluble,
E. affluent,
34. All his plans fell through,
A. failed,
B. were accomplished,
C. had to be reviewed,
D. were rejected,
E. fell,
35. The balance sheet at the end of the business year shows that we broke even,
A. lost heavily,
B. made profit,www.myschoolgist.com
C. neither lost nor gained,
D. had no money to continue business,
E. were heavily indebted to our bankers,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

36. He was appointed specifically to put the recruits through,
A. assign them to work,
B. train them,
C. discipline them,
D. assist them at work,
E. supervise them at work,
37. The result of his experiment represents a breakthrough in medical science,
A. an outstanding success,
B. catastrophe,
C. an end to such experiments,
D. breaking point,
E. a colossal failure,
"38. Being an optimist, our professor always sees the bright side of most things",
A. charming,
B. illumined,
C. brilliant,
D. pleasing,
E. cheerful,
39. The state government appointed a commission of inquiry to go into the community's complaints carefully,
and without prejudice,
A. investigate,
B. search,
C. look for,
D. account for,
E. ascertain,
40. The traffic situation in Lagos can lead to disastrous consequences; a man lost a very lucrative job because,
he was held up by it,
A. confused,
B. delayed,
C. annoyed,
D. intrigued,
E. obstructed,
41. Mrs. Dada has been deserted by her husband because he feels she has a heart of stone,
A. she has a heavy heart,www.myschoolgist.com
B. she has little warmth of feeling,
C. she has a hard heart,
D. she is hard hearted,
E. she has a strong heart,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

42. Mr. Jack could be a successful businessman if he paid more attention to the more intricate aspects of his,
account,
A. Mr. Jack will undoubtedly succeed,
B. Mr. Jack cannot succeed,
C. Jack will have a very good chance of succeeding,
D. Mr. Jack will find it difficult to succeed,
E. Mr. Jack will succeed in spite of all odds,
"43. If my father had not arrived, I would have starved. This sentence means",
A. My father did arrive and I didn't starve,
B. I had to starve because my father didn't come,
C. my father didn't arrive and I didn't starve,
D. I should have starved but I didn't,
E. I had starved before my father arrived,
44. The two sprinters were running neck and neck,
A. exact level,
B. very slowly,
C. very fast,
D. with their necks together,
E. together,
45. He stared at her,
A. glanced,
B. peeped,
C. looked,
D. gazed,
E. fixed,
"46. When the man was caught by police, he presented a bold front",
A. he attacked the policemen boldly,
B. he walked up to the policemen,
C. he faced the situation with apparent boldness,
D. he bravely attempted to give them a present,
E. he frowned at them in a defiant manner,
47. I have been able to observe him at close quarters,
A. in government house nearby,
B. within a short space of time,www.myschoolgist.com
C. in a small family house,
D. at close range,
E. at regular intervals,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

48. At the site of the ghastly accident the poor woman's hair stood on end,
A. the woman's hair became straight,
B. the wind blew her hair upwards,
C. the woman was unmoved,
D. the woman disarranged her hair,
E. the woman was frightened,
Complete each of the following sentences by choosing the option that most suitably fills the space;,
"49. When the beggar was tired, he .... down by the roadside",
A. lied,
B. laid,
C. layed,
D. lay,
E. lain,
50. He did not like .... leaving the class early,
A. we,
B. us,
C. our,
D. ourselves,
E. our selves,
"51. Before the operation, the dentist found that his patient's teeth....",
A. have long decayed,
B. have long been decayed,
C. have long being decayed,
D. had long decayed,
E. had been decayed,
"52. The employer, not the salesman and his representative .... responsible for the loss",
A. are,
B. are being,
C. are never,
D. have been,
E. is,
53. The boy was born before his parents actually got married and so the court has declared him ....,
A. illegal,
B. illegitimate,www.myschoolgist.com
C. illicit,
D. unlawful,
E. untenable,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

"54. As he was still owing me two naira, I was careful not to .... him any more money",
A. lend,
B. loan,
C. borrow,
D. extend,
E. credit,
55. Last week the .... at the theater was the longest I had ever seen,
A. assembly,
B. congregation,
C. convention,
D. audience,
E. crowd,
56. If you travel by air you will be given an allowance to cover ....,
A. a luggage,
B. luggage,
C. luggages,
D. a baggage,
E. baggages,
57. Tennyson and Browning lived about the same time and therefore .... poets,
A. contrary,
B. contractual,
C. contemporaneous,
D. contemporary,
E. contemptible,
58. The green snake which lives in the green grass is using a perfect ....,
A. ambush,
B. under cover,
C. camouflage,
D. shelter,
E. subterfuge,
59. In order to carry out necessary examination the dead body was ....,
A. extracted,
B. extradited,
C. exiled,
D. expelled,www.myschoolgist.com
E. exhumed,
60. Remember this matter is strictly ....,
A. between you and I,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

B. among you and me,
C. among you and me,
D. between you and me,
E. between you and myself,
61. He went abroad with a view .... a business partner,
A. to find,
B. to be finding,
C. to have found,
D. to finding,
E. he will find,
62. He had just entered the office .... the telephone rang,
A. as,
B. before,
C. since,
D. when,
E. until,
63. They .... receive visitors on short notice.,
A. use to,
B. are used to,
C. used to,
D. are always,
E. are use to,
64. His suggestion are completely .... the point and cannot be accepted,
A. to,
B. about,
C. beside,
D. on,
E. under,
65. For .... he is a secretary we shall not have correct minutes,
A. because,
B. as long as,
C. so long,
D. in as much,
E. although,
www.myschoolgist.com,
66. He went up quickly and returned ....,
A. fastest,
B. fastly,
C. as fastly,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

D. as fast,
E. in fastness,
"67. Invariably, he ends his letters .... amicably",
A. you,
B. your's,
C. yours',
D. yours,
E. your own,
68. If I went to the cinema I .... early,
A. shall return,
B. am returning,
C. would return,
D. had return,
E. may return,
69. The traditional folktales form an .... to the book,
A. index,
B. insertion,
C. information,
D. overview,
E. appendix,
70. the frightening explosion in the factory .... whole wing,
A. washed out,
B. wiped out,
C. rooted out,
D. flushed out,
E. cleared out,
71. Our plane was scheduled to .... at 10.00 hrs. but it was delayed because of the bad weather,
A. fly out,
B. take off,
C. start out,
D. shoot off,
E. lift off,
"72. As luck would have it, the weather brightened almost immediately and after six hours flight we .... at",
Heathrow Airport,www.myschoolgist.com
A. touched down,
B. dropped,
C. came down,
D. flew down,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

E. stopped,
"73. Before we left the airport, each passenger was made to .... certain form",
A. fill in,
B. write in,
C. enter in,
D. go through,
E. read out,
74. My father cannot bear the .... of the concoction that emanates from my mother’s soup pot,
A. sweet,
B. savoring,
C. aroma,
D. smell,
E. scent,
75. I would not have condescended to appease the traffic policeman but I happened .... traffic regulation,
A. to have broken,
B. to be breaking,
C. to break,
D. to break in,
E. to have evaded,
76. The managing director did not pay his staff last month ...?,
A. didn't he,
B. had he not,
C. is not it,
D. did he,
E. has he,
"77. Although he is in all respects a poor student, he has managed to buy a tape recorder to improve his .... of",
French,
A. mastery,
B. mastering,
C. speaking,
D. ideas,
E. thinking,
"78. Granted you are my senior by one year, you cannot .... me around as if I were your servant",
A. control,www.myschoolgist.com
B. dribble,
C. order,
D. ask,
E. compel,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

79. .... mark an important step in the history of industrial revolution,
A. The invention of the locomotive engine,
B. The discovery of locomotion,
C. The discovery of the engine,
D. The process of locomotion,
"80. Because the referee was partial and his opponent rough, the loser of the wrestling match received ....",
cheers than the winner,
A. thunderous,
B. many more,
C. overwhelming,
D. a little more,
E. several,
81. The boxer was highly rated .... his doggedness and ability to absorb heavy punches,
A. by,
B. through,
C. for,
D. about,
E. in,
82. Many lives are lost on Nigerian roads .... lack of consideration for other road users by many crazy drivers,
A. in view of,
B. resulting in,
C. owing totally to,
D. through,
E. by,
83. The man no longer feared his opponent after their spokesman had assured him that they were well,
disposed .... him,
A. to,
B. toward,
C. around,
D. about,
E. for,
84. My little boy is hyper-active and he is therefore prone .... accidents,
A. with respect to,
B. for,www.myschoolgist.com
C. to,
D. about,
E. as regards,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

85. His horrible high-pitched laugh .... on my nerves,
A. jags,
B. jabs,
C. jams,
D. jars,
E. jeers,
86. The train rattled along .... full speed,
A. in,
B. at,
C. with,
D. by,
E. on,
87. You would have thought that somebody would have informed me ….,
A. shouldn’t they,
B. wouldn’t you,
C. I should think,
D. You agree,
E. isn’t it,
"88. If this had happened to you, what ......?",
A. would you do,
B. have you done,
C. would you have done,
D. will you do,
E. would you be doing,
89. What a relief that the strike .... when it did!,
A. would end,
B. was ending,
C. ended,
D. has ended,
E. is ending,
90. We should take care .... the robbers come back,
A. may be,
B. should in case,
C. perhaps,
D. probably,www.myschoolgist.com
E. in case,
"91. By the time the rainy season ended, all the young cocoa trees .... in size",
A. have double,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

B. had doubled,
C. were doubling,
D. doubled,
E. will double,
92. There were so many children ....,
A. that she couldn't feed them all,
B. than she could feed,
C. that she couldn't feed,
D. that she could feed them all,
E. more than she could feed them all,
93. Isn't it high time you .... your office?,
A. are leaving,
B. do leave,
C. leave,
D. left,
E. did leave,
94. In West Africa the .... of sickle cell is about 25 percent,
A. incident,
B. incidence,
C. accident,
D. accidence,
E. incense,
95. We got to the hall after the play ....,
A. is started,
B. was starting,
C. had started,
D. has started,
E. would start,
Substitute for the underlined word in the following sentence the word that most closely expresses,
the opposite meaning:,
96. The plaintiff made very cogent submissions to the trail judge,
A. bailiff,
B. prosecutor,
C. lawyer,www.myschoolgist.com
D. defendant,
E. accused,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

Choose the option which is nearest in meaning to the sentences in each of the following questions:,
97. We visited the home of one boy. That’s the boy I mean,
A. That’s the boy whom we visited his home,
B. That’s the boy whose home we visited,
C. That’s the boy to whose home we visited,
D. That’s the boy whom we visited the home,
E. That’s the boy the home of whom we visited,
98. The dog was limping. It appeared that one of its legs might have been injured,
A. The dog was limping as if it had an injured leg,
B. The dog was limping as it had an injured leg,
C. The dog was limping so it had an injured leg,
D. The dog was limping so as it had an injured leg,
E. The dog was limping for it had an injured leg,
99. I can walk that distance and have done so many times,
A. I am used to walk that distance,
B. I used to walk that distance,
C. I used to walking that distance,
D. I am used to walking that distance,
E. I will walk that distance,
"100. For all he cared, his parent might have been dead for years",
"A. although concern about his parent, he had been unable to find out if they were alive",
"B. He cared for no one except his parents, and it was possible that they had died long before",
C. he did not care whether his parents were alive or had died long before,
"D. He was concerned about everyone not just his parents, who might have died long before",
E. He cared very much for his parents even though they were dead,
www.myschoolgist.com,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

USE OF ENGLISH 1979 COMPREHENSION,
Read each passage and answer the questions that follow;,
Foreign Language Learning,
PASSAGE A,
The learning of a foreign language should be an integral part of every university student's education. As a,
"discipline, it affords the mind excellent training. It utilizes skills needed in so many other subjects: the",
concentration required for memorizing music (not to mention developing the ear for tone and pitch). The,
"logical thinking for resolving mathematical problems, even the deductive reasoning capabilities needed to",
comprehend philosophical concepts. The mind is stretched through the simple act of learning the grammatical,
"patterns, vocabulary and phonological system of a language. At the same time, the student of a foreign",
"language is acquiring a useful tool. This tool has a double advantage, for while most people (especially",
"teachers) expound on the rewards of being able to communicate in a second, third or fourth language,",
"perhaps the more promising of the two, is being able to understand and hopefully appreciate another cultural",
www.myschoolgist.com,
"group through their literature, their music and customs all of which are best assimilated through the medium",
of their language.,
1. An appropriate title for the article from which this passage is taken could be:,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

A. The need for foreign language learning in Universities,
B. An apology for the study of foreign languages in Nigerian Universities,
C. The need for studying French and Kiswahili in our colleges and Universities,
"D. Why a foreign language should be studied by all who study music, mathematics or philosophy",
E. the pros and cons of foreign language learning in Nigerian Universities,
"2. According to the passage, the main reward for a foreign language learner is",
A. the ability to speak another language,
B. being able to teach the language,
C. being able to learn mathematics or music in a foreign language,
D. expanding the mind to acquire new knowledge and skills,
E. none of the above,
3. Which of the following statements is not made in the passage?,
А. All students should study a language in the University,
B. Foreign language learning enables one to appreciate other people's culture,
C. Teachers emphasize ability to communicate as a reward to foreign language learning,
D. Foreign language learning helps the study of other subjects,
E. Foreign language learners are usually better students than others,
4. 'Discipline' as used in the above passage means,
А. punishment,
B. lecture,
C. Skill,
E. subject,
PASSAGE B,
"They hung around together, the boys from the school up on the hill. School was over. They were expecting the",
result. One or two got teaching jobs in St. Alban's College. It is one of the post-war secondary schools that,
"sprang up in the city because serious people felt the educational need of the country, and possessed a sharp",
"nose for smelling quick money. Boys from up country who were eager to learn, whose parents had a little",
"money, but who could not get into the big schools like Achimota and Mfantsipim in Cape Coast, rushed to the",
"new schools, secured lodgings with distant relatives, and bought for a relatively cheap amount some sort of",
education. His friend Sammy was the history master from Form One to Five and was also put in charge of,
sports in the distant hope that the school would one day get its own playing field near the mental hospital.,
There were six hundred students who were all day boys; classes were held in Dr. Dodu's house. The house was,
"originally built by a man of wealth and a large family. The bedrooms, of which there were eight, were turned",
into classrooms; toilets were knocked into pantries to provide additional classrooms for the ever-growing,
"population of the school. Mr. Anokye, a retired pharmacist, owned the school. He laid great emphasis on",
"science, being a science man himself. He wore a small-rimmed pair of glasses which made him look like one of",www.myschoolgist.com
"those little black cats on Christmas cards. He had a small voice which squeaked with akpeteshie, and a breath",
like the smell of gunpowder. He had spent many years at Korle Bu Hospital where he drank the methylated,
"spirit meant to be supplied to laboratory assistants. He was dedicated to learning, a scholar in many ways. He",
"knew Archimedes' principle. Whenever he shouted, during terminal examinations, his battle cry of Eureka!",
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

"Eureka! then he had caught someone cheating, someone looking over his mate's answer sheet. Mr. Anokye",
"came from a long line of scholars. He claimed his grandfather went to England with Reverend T. A. Barnes,",
D.D.. who was the Anglican Bishop of Cape Coast Diocese from 1896 to 1909. He was dedicated to his work.,
"He interviewed Sammy himself, questioned him about his parentage and religious background, listened to him",
"carefully, and decided to appoint him on a salary of six pounds per month pending the outcome of his",
"Cambridge School Certificate examination. He questioned him closely on history, especially the Glorious",
"Revolution, and Oliver Cromwell.",
5. St. Alban's College was founded because,
A. the war was over,
B. there were no other colleges in the country,
C. founding a college required quick money,
D. the need for education was seriously felt,
E. boys from the interior were eager to learn,
6. Boys who went to St. Alban's College were those who:,
А. could easily have gone into either Achimota door Mfansipim if they wanted,
B. for some reasons were not admitted into schools like Achimota and Mfansimpi,
"C. rushed into the new school, did not want to live in the boarding houses at Achimota or Mfansipim",
D. wanted only cheap education,
7. We know that the St. Alban's College was in the pioneering state because,
A. only pupils of poor homes were admitted into,
B. all the students were day boys,
C. the emphasis was on science,
D. Mr. Anokye owned it,
E. it did not even have a playing field,
8. Which of the following statements about Mr. Anokye is false?,
A. He supported the teaching of science,
B. He abstained from drinking alcohol,
C. he never condoned cheating during examinations,
D. His parents were educated Christians,
E. He had studied science in school,
9. Mr. Anokye would shout 'Eureka!',
A. after he had drunk methylated spirit,
B. to show that he knew Archimedes',
C. whenever he caught a boy cheating during an examination,
D. whenever he wanted to go into battle,www.myschoolgist.com
E. in order to frighten the boys.,
PASSAGE C,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

"The earthly paradises of Bali and of the South Sea Islands, and the gentle, non-acquisitive civilization of Burma",
"have been aptly described and romanticized. One can add to them the Nicobar Islands, where a small",
population lives happily on a very low cultural level but perhaps the most remarkable and the least known of,
"these earthly paradises is the small kingdom of Hunza in the Himalayas, which was recently visited and",
"enthusiastically described by the journalist, Noel Barber (Daily Mail, 5, 6, 8 June 1962). A fair-skinned",
"population of 18,000, they live in a fertile and almost inaccessible valley not far from the Sinkiang border,",
"8,000 feet up. A legend has it that they are the descendants of three deserters from the army of Alexander",
"the Great, who settled here with Persian wives - which make one inclined to believe the pacifism may be",
"hereditary, because these people had no war in 2,000 years. They have no money, no crime, and no diseases,",
"they rarely die before ninety. Their Psychosomatic control is almost unbelievable, childbirth is painless and",
"toothache, a joke, they keep their numbers stationary without contraceptives, and without abortion, but by",
"sheer abstinence though Noel Barber saw the new born son of a chuckling father aged eighty-nine. Their diet,",
"which consists mostly of apricots and raw vegetables, may have something to do with their unshakeable",
serenity. It makes one gasp with surprise that human nature can be like this. One is reminded of Huxley's,
"Island, but unlike the Palanese, the Hunza people have no art, only serenity!",
10. It is said in the passage that Noel Barber has,
A. visited all the earthly paradises,
B. visited only the Nicobar Islands,
C. Visited Hunza in the Himalayas,
"D. visited Hunza in the Himalayas on 5, 6 and 8 June 1962",
E. not done on any of the above,
11. The civilizations of Burma and Nicobar Islands are,
A. alike because both are romanticized,
B. alike because both operate at low cultural level,
C. alike because one is gentle and non-acquisitive and the other operates at a low cultural level,
D. not alike because Burma has been described but the Nicobar Islands have not,
"E. not alike because the Nicobar Islands have a small population, and Burma has a large population.",
"12. The Kingdom of Hunza had no war in 2,000 year.",
This,
A. proves that pacifism is hereditary,
B. suggest that pacifism may be hereditary,
"C. shows that Alexander the Great was their ancestor, and he hated wars",
D. is because they deserted the army of Alexander the Great,
E. is because they could not fight,
13. Why is toothache a joke in Hunza?,
A. it provides so much fun for the people,www.myschoolgist.com
B. They joke to relieve its pain,
"C. Because they have no cure for it, it is better to joke about it",
D. Civilized people must joke when they have toothache,
E. Toothache is unknown,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

"14. To say that the Hunza people have, serenity means they are",
A. Cultured,
B. Contented,
C. artistic,
D. friendly,
E. romantic,
15. Which of the following statements is not true of,
the Hunza people?,
Ą. They have no money,
B. There are no crimes,
C. They have had no wars,
D. They live till a ripe old age,
E. They have no diseases,
PASSAGE D,
There is one fascinating question that arises out of the contemplation of mud sculpture. Why should anybody,
"use unbaked mud, the most perishable of materials. Is it because no other materials are readily available? The",
"question is not easy to answer definitely. Mud is? of course, the cheapest and most readily available material.",
Yet there is ample proof that mud is not used merely because it is easy to get hold of and cheap. Many Igbo,
Mbari houses are the only buildings in the village that have an imported corrugated iron roof - which proves,
that the people who built them shun no cost to make them look important. In all the areas where I have seen,
"mud, sculpture, wood carving and brass casting are also known and practiced. In Yoruba country, stone is also",
used as a medium of sculpture. One important thing to realize is that different materials are not necessarily,
"used because they have lasting, durable qualities. In Yoruba country today, brass can only be used by Oshun",
"or Ogboni worshippers. Ivory can only be used by Obatala worshippers, copper by Sonponna, iron by Ogun",
and so on. Materials are used for their mystic properties of absorbing or repelling human radiation. The,
"Obatala worshipper uses ivory as a protection, in the sense that it is protecting him from the destructive",
"psychic influences of a man whose mentality is basically different or opposed to his. Similarly, Oshun",
"worshippers use brass figures in their shrines – not because brass lasts longer than wood, but because brass",
