Question,Option A,Option B,Option C,Option D
53. The uniform makes the guards look  absurd,A. dirty B. smart C. sensible D. ridiculous,,,
54. The law is often tardy in reacting to,changing attitude A. quick B. slow C.  exclusive,D. generous,,
55. Isa and llu ate sumptuous meal on their,brother’s wedding day A. expensive B.  foreign,C. insipid D. cheap,,
56. Kaltume crouched over the paper on her,desk A. wrote on B. stood on C. walked over  D.,bent over,,
57. The panacea for a country’s economic mess,lies in systematic planning and hardwork A.,cure B. hope C. foresight D.  trouble  58. Thousands of workers have been victims of,retrenchment since the military came back to,power A. Unemployment B. Trench mentality  C.
59. The principal gave his speech offhand at,the sports meeting A. calmly B. beautifully C.,unconcerned D.  unprepared,,
60. Jankoli was dressed  in an old assortment of,clothes A. Avalanche B. Homogeneity C.,Sameness D.  Melange,,
61. The girl’s father was astounded to see her,appear from the shrine A. collected B.,Overwhelmed C. embarrassed D.  Astonished,,
62. The director’s remark was extremely,apposite to the issue being discussed A.,Appropriate B. Inconsequential C. Emphatic  D.,Adequate,
63. Her reputation is without a blemish  A.,Struggle B. Problem C. Fault D.  Blessing,,,
64. Ugo is eligible for the post of secretary A.,Nominated B. Invited C. Qualified D.  Intelligent,,,
65. This is an abridged version of No Longer at,Ease A. An outdated B. An enlarged C. An,illustrated D. A  shortened,"In each of question 66 to 85, choose the option",that best completes the gap(s)
"66. Lemoti……… as a painter, but also as a",sculptor A. is a gifted only not B. is only  not,gifted C. is gifted not only D. is only  gifted,,
67. He can recall the important dates in  the,"nation’s history, it is interesting to listen as he",rattles ……… A. off B. over C. up D. out,,
68. The boy told  his mother  ........  A. that  was,the girl he told her about B. that was the girl I,told you about her C. that was the girl I told,her about D. that is the girl he told her about,
69. Last Monday his father  asked  me ....... A. if,I had come some days before B. if I had come,the day before C. did you come yesterday D.,"had I come yesterday  70. His wife was badly injured in the fracas,  but",I think she will pull ……. A. up B.  over
71. A wide range  of options  ....... made,available t o students in the final year last year,A. is B. were C. are D.  was,,
72. One of the  women  who ........  in the,premises  ...... been ordered to quit  A.,sells/have B. sell/has C. sell/have D. sells/has,,
73. The new trade agreement should,facilitate  ....... A. more economic rapid  growth,B. economic more rapid growth C. rapid,economic more growth D. more rapid  economic,growth
74. The principal said that he was  pleased………,my effort. A. on B. of C. with D. about,,,
75. Paper  is made  ..... Wood pulp A. on B. of  C.,from D. with,,,
"76. Long after everyone  ...... the hall, obi  still",sat inside. A. left B. is leaving C. has left D.,had left,,
77. They are the ...... dresses A. babys’ B.  baby,C. babies D.  babies’,,,
78. The politician  was sent ..... Exile A. onto  B.,into C. on D. to,,,
"79. When we looked  up, we ...... the plane",some miles away A. site B. cited  C. sited D.,sighted,,
80. Vital….. is  still spread  .... word of mouth  in,most villages in Africa A. information/from B.,information/with C. information/by,D.information/through,
81. Western education is one  of the .... of,colonial rule. A. legacies B. evidence  C.,remnants  D. inheritance,,
82. The federal government has……  child,trafficking A. postulated B. projected C.,prescribed D.  proscribed,,
83. The man was happy that his son  confessed,his guilt and so the others were……  A. Implicated B. accused C. punished D.,exonerated,,
"84. Based on the facts before me, I have no",alternative…… to hold you responsible A.  only,B. as C. than D. but,,
85. Many people would always find reasons,to……the law A. arrogate B. debase C.,circumvent D.  circumspect,"In each of questions 86 to 88, choose the",option that has the same Vowel sound as
86. Coup A. whup B. hoot C. couple D.  scout,,,,
87. Indict A. bright B. fish C. pick D.  brick,,,,
88. Roared A. towered B. coast C. brought  D.,rod,"In each of the questions 89 to 91, choo se",the option that has the same consonant,sound as the one represented by letter(s)
89. Sheath A. bathe B. length C. months  D.,paths,,,
90. High A. what B. honest C. who D.  vehicle,,,,
91. Of course A. plough B. dough C. over  D.,orphan,"In each of question 92 to 94, choose the option",that rhymes with the given word.,
92. Boys A. stays B. moist C. noise D.  elbows,,,,
93. Shine A. clean B. fine C. machine D.  lain,,,,
94. Seer A. snare B. spare C. spear D.  square,"In each of question 95 to 97, choose the",most appropriate stress pattern from the,options. The stressed syllables are written,in capital letter(s)
95. Political A. poliTIcal B. PoLItical C.  POlitical,D. political  96. Satisfactory A. saTISfactory B.  satisFACtory,C. SATisfactory D. satisfactory,,
97. captivity A. captiVIty B. CAPtivity  C.,capTIvity D.  CAPtiviTY,"In each of question 98 to 100, the word in",capital letters has the emphatic. Choose,the option to which the given sentence
98. EMEKA finished his home work  yesterday,A. Was Emeka helped to do his  homework?,B. Did Emeka do his  homework?  C. When did Emeka finish his  homework?,D. Who finished his home work  yesterday?,
99. Taiwo SAILED to  London,A. Did Taiwo fly to  London?,B. Did Taiwo sail to  Brazil?,C. Did Taiwo sail to  London?,D. Where did Taiwo sail  to?
100.  My bag is made of  LEATHER,A. Whose bag is made of  leather,B. Is my bag made of  polythene?,C. Is Abu’s bag made of  leather?,D. Is my bag made of  leather?  ANSWER KEYS
1. A,,,,
2. D,,,,
3. C,,,,
4. D,,,,
5. A,,,,
6. A,,,,
7. B,,,,
8. A,,,,
9. D,,,,
10. B,,,,
11. A,,,,
12. C,,,,
13. C,,,,
14. C,,,,
15. B,,,,
16. B,,,,
17. C,,,,
18. A,,,,
19. B,,,,
20. B,,,,
21. D,,,,
22. A,,,,
23. D,,,,
24. C,,,,
25. D,,,,
26. B,,,,
27. B,,,,
28. B,,,,
29. A,,,,
30. C 31. C,,,,
32. B,,,,
33. A,,,,
34. A,,,,
35. C,,,,
36. D,,,,
37. C,,,,
38. C,,,,
39. B,,,,
40. D,,,,
41. D,,,,
42. A,,,,
43. C,,,,
44. A,,,,
45. D,,,,
46. A,,,,
47. A,,,,
48. A,,,,
49. B,,,,
50. D,,,,
51. C,,,,
52. B,,,,
53. D,,,,
54. B,,,,
55. A,,,,
56. D,,,,
57. A,,,,
58. A,,,,
59. A,,,,
60. D 61. D,,,,
62. A,,,,
63. C,,,,
64. C,,,,
65. D,,,,
66. C,,,,
67. A,,,,
68. A,,,,
69. B,,,,
70. C,,,,
71. D,,,,
72. D,,,,
73. D,,,,
74. C,,,,
75. C,,,,
76. C,,,,
77. D,,,,
78. C,,,,
79. D,,,,
80. C,,,,
81. A,,,,
82. D,,,,
83. D,,,,
84. C,,,,
85. C,,,,
86. B,,,,
87. A,,,,
88. A,,,,
89. B,,,,
90. C 91. C,,,,
92. C,,,,
93. B,,,,
94. B,,,,
95. B,,,,
96. B,,,,
97. C,,,,
98. D,,,,
99. A,,,,
100.  B UTME 2011 USE OF ENGLISH QUESTIONS,COMPREHENSION: Read each passage,carefully and answer the questions that,follow it,PASSAGE I
1. Which question paper type of use of English,is giving to  you?,(a) Type A,(b) Type B,(c) Type C
"2. The writer’s posture, as conveyed in the",statement Electricity from living cells is no new,"idea, can be describe  as",(a) Ineffectual,(b) Contentious
3. Which of the following is true according to,the passage?,(a) Scientist felt that bio -cell would produce,very costly  energy,"(b) Biocell, at the beginning, derived  their"
4. The inventor of biocell justified the need  for,it by saying that  would,(a) develop ways for changing biocell into fuel,for use,(b) yield a source of energy without  much
"5. According to the passage, electricity  was",first discover  in,(a) heart and  brains,(b) muscles of  animals,(c) lightning
6. Which of the following represents  the,writer’s view in the passage?  (a) evil thought may come but there is virtue  in,keeping them  out,(b) evil thought will continue to sting us likes,vipers as long as there are enemies who cause
7. Which of the following statement represent,the view expressed by the writer in the first,paragraph?,(a) evil thought will eventually ruin the  evil,man
"8. From the argument in the second paragraph,",it can be concluded that evil thought control,the lives of people  who,(a) Are helpless because they fly out of  their,minds
9. the expression ‘Think of the devil and he  will,"appear  .... , as used in the passage  suggests",that,(a) likes the devil evil thoughts must not  reign,in our  hearts
"11. According to the writer, people lead and",motivate others because they want  to,(a) project individual contribution,(b)encourage selfless service,(c) make the world a  home
"12. According to the passage, balance must be",enthroned because it  is,(a) a critical interdependent  function,(b) an amazing help for  conscience,(c) a critical part of  fidelity  (d) serious way of ensuring  success.
"13. The word inclinations, as in the passage",means,(a) creeds,(b) tendencies,(c) inhibitions
14. Which of the following statements is  true,according to the  passage?,(a) greatness in life emerges when square pegs,are put in round  holes,(b) people do certain things in life because  they
"15. From the passage, it can be inferred  that",(a) People insincerely discuss facts that govern,their behaviour,(b) all managerial decisions are based  on,assumptions.
"26. If he were here, it could be more  fun",(a) He was expected but did not show up to,make the occasion  lively.,(b) There was no fun because he was not,present.  (c) He did not show up and so the  occasion
27. The secretary said that the postponement,of the meeting was due to unforeseen,circumstances.,(a) The date of the meeting was shifted as  a,result of unexpected  reasons.
28. The hunter has a bird’s -eye view of the,animals.,(a) He views the animal from a high  position.,(b) He views the bird’s  eye.,(c) He views the birds on the tree with  one
29. Even though Susan was the last in the,"examination, her result wasn’t too different",from what had been expected.,(a) Her result was  poor.,(b) Her result was a  disappointment.
30. Mrs. Adasu does all her work with more,"haste, less  speed.",(a) She accepts whatever she does with more,haste and  speed.,(b) She approaches whatever she does
32. The plan to upgrade the dispensary to  a,general hospital did not  materialize.,(a) The plan did not meet the  required,specifications.,(b) The arrangement did not work out  as
33. Okon’s company took a hit last  year.,(a) His company improved last  year.,(b) His company made a huge success  last,year.,(c) His company was badly damaged last  year.
"34. My eldest son, who is in Lagos is  studying",English.,(a) Only my son is in Lagos studying  English.,(b) My only son is in Lagos studying  English.,(c) One of my son is in Lagos studying  English
"35. If I went to the village, I would visit  the",king.,(a) If I go to the village I will visit the  king.,(b) I did not go to the village and I did not  visit,the king
37. Mrs. Asio wanted her sister to stop being  so,detached,(a) friendly,(b) careless,(c) indifferent
38. Lantana dwelt in a ruined cottage on the,hillside .,(a) sat,(b) worked,(c) slept
39. The mistake brought the show to  an,ignominious end,(a) a good,(b) a palatable,(c) a disgraceful
40. He compliments me on my way of doing,things.,(a) complements,(b) imitates,(c) disgusts
41. The girl is angry with her friend who  had,ensnared her into this relationship.,(a) tricked,(b) encouraged,(c) encouraged
42. Their new house was roofed  with,corrugated sheets.  (a) folded,(b) iron,(c) aluminium,(d) corrupted
43. The stockbroker said it was an astute  move,to sell the shares  then.,(a) a bad,(b) a shrewd,(c) an unprofitable
44. The principal described Oche as the  most,tactful person he had ever worked with.,(a) passionate,(b) discrete,(c) hard-working
45. The old woman is suffering from  dementia .,(a) lucidity,(b) senility,(c) insanity,(d) sagacity
46. Some drugs have deleterious effect on  a,child’s  development.,(a) debilitating,(b) helpful,(c) harmful
47. Fila has always described as  belligerent.,(a) beautiful,(b) attractive,(c) combative,(d) innocent
48. Laraba saw a forlorn little figure  sitting,outside the  class.,(a) wise and  intelligent,(b) lonely and  unhappy,(c) smart and  healthy
50. Her problem was exacerbated by the loss,of her  father.,(a) exaggerated,(b) solved,(c) aggravated
51. The warring communities were coerced into,negotiation a  settlement,(a) driven,(b) compelled,(c) persuaded
52. His father served as a mercenary in the,army,(a) preacher,(b) regular,(c) recruit
53. Jummai is cruel to her  husband,(a) harsh,(b) brutal,(c) passionate,(d) ferocious
54. The teacher who beat the student was,treated with  mercy,(a) disrespect,(b) contempt,(c) vengeance
56. Agoshito is a callow youth; said the  teacher,(a) An ignorant,(b) An experience,(c) An idle,(d) An organized
57. What you are asking me to do is  a,herculean task,(a) a strenuous,(b) a demanding,(c) a lovely
58. Nkechi was a novice when she was  first,employed,(a) manager,(b) clerk,(c) supervisor
"59. ‘I do not trust him ‘he said, in a  rare",moment of  candour,(a) reproach,(b) dishonesty,(c) frankness
60. Mrs Akunilo looks anaemic  today,(a) strange,(b) sick,(c) weak,(d) strong
61. It is inconceivable that the sun shone in  the,night,(a) credible,(b) unthinkable,(c) impossible  (d) contestable
62. She only gives a superficial impression of,warmth and  friendliness,(a) a strong,(b) a fake,(c) a deep
"63. As a prudent businessman, Adayi does not",leave anything to  chance,(a) A frugal,(b) Shrewd,(c) careless
64. His antipathy affected the growth of his,business,(a) hatred,(b) receptiveness,(c) loyalty
65. Okonkwo’s lethal right foot did the magic  in,the football  match,(a) Weak,(b) wicked,(c) fat
"66. When his car tyre ….. on the way, he  did",not know what to  do,(a) has burst,(b) had burst,(c) bursted
67. Lami’s father …. As a gardener when he,"was young, but now he is a  driver",(a) had been  working,(b) use to  work,(c) has worked  (d) used to  work
69. it is important that you clear the refuse  in,front of your house every  ……,(a) fourtnight,(b) fortnight,(c) fourthnight
70. The policemen became suspicious as  the,hoodlums…… in their  office,(a) ferreted,(b) ferreted,(c) ferreted  about
71. Suara needn’t come with us.  ?,(a) does she,(b) will she,(c) can she,(d) need she
72. Unoka…. the whole house to find  his,missing  wristwatch,(a) scourged,(b)scoured,(c) scored
73. Ife asked  me….,(a) what time it  was,(b) what is it by my  time,(c) what time is it,"(d) what time it  is 74. There are many ways to kill a rat, so  we"
75. Audu took these action purely…. His  own,career,(a) on furtherance  of,(b) in furtherance  of,(c) to furtherance  in
76. Here is Mr. Odumusu who teaches  English…,in our  school,(a) pronuntiation,(b) pronounciation,(c) pronunciation
77. instead of… she  lied,(a) pleading,(b) her to  plead,(c) her pleading,(d) plead
"78. Of the three girls, Uka is  the….",(a) so much  notorious,(b) notorious,(c) naught,(d) naughtiest
79. I wonder how he will … being absent  from,school for a long  time,(a) make  in,(b) make  up,(c) make  off
80. Please sit on  the…,(a) carier,(b) career  (c) carrier,(d) carrear,
81. I want to … his chance to acquaint you  with,the latest  development,(a) size,(b) seize,(c) sieze
82. Getting a well -paid job nowadays is  on…..,task,(a) utmost,(b) upbeat,(c) uphill
83. The secretary has no right to … my  affairs,(a) spy from,(b) meddle  in,(c) toy at,(d) complain into
84. Bola studiously avoided… the  question,(a) parrying,(b) answering,(c) projecting,(d) destroying
85. The school authority dismissed him for  ….,But I won’t tell you about it yet,(a) certain  reason,(b) a reason,(c) more reason
86. bubble,(a) guy,(b) bull,(c) bumper  (d) gurgle,
87. Weight,(a) whale,(b) while,(c) wheat,(d) writhe
88. Leach,(a) gear,(b) cedar,(c) cheer,(d) death
89. Mention,(a) that,(b) machine,(c) church,(d) test
90. Prestige,(a) bag,(b) badge,(c) reggae,(d) leisure
91. Knot,(a) cot,(b) keep,(c) norm,(d) king
92. Fuel,(a) cruel,(b) fool,(c) rule (d) field,93 match
94. Sheer,(a) Sheila,(b) care,(c) ear,(d) sherry
95. Termination,(a) terminaTION,(b) TERmination,(c) termiNAtion,(d) terMInation
96. meditative,(a) meDItative,(b) mediTAtive,(c) Meditative,(d) meditaTIVE
97. Sugestible,(a) suggeSTIble,(b) Suggestible,(c) suGGEstible,(d) suggestible
98. Uche LOVES Toyota  cars,(a) who loves Toyota  cars? (b) What brand of car does Uche  love?,(c) Does Uche hate Toyota  cars?,(d) Dose Uche love  bicycles?,
99. The POLICE arrested the  suspect,(a) Did the police placate the  suspect?,(b) Who arrested the  suspect?,(c) Who did the police  arrest?,(d) Did the police arrest the  suspect?
100.  Maiduguri is the CAPITAL of Borno  state,(a) Is Maiduguri the capital of plateau  state?,(b) Which state is Maiduguri the capital  of?,(c) Is Maiduguri a town in Borno  state?,(d) What is the capital of Borno  state?
1. D,,,,
2. B,,,,
3. B,,,,
4. B,,,,
5. D,,,,
6. A,,,,
7. C,,,,
8. D,,,,
9. C,,,,
10. B,,,,
11. A,,,,
12. D,,,,
13. B,,,,
14. D,,,,
15. C 16. B,,,,
17. C,,,,
18. A,,,,
19. A,,,,
20. B,,,,
21. C,,,,
22. B,,,,
23. B,,,,
24. D,,,,
25. C,,,,
26. C,,,,
27. A,,,,
28. A,,,,
29. C,,,,
30. D,,,,
31. C,,,,
32. B,,,,
33. B,,,,
34. C,,,,
35. C,,,,
36. C,,,,
37. C,,,,
38. D,,,,
39. C 40. D,,,,
41. A,,,,
42. B,,,,
43. B,,,,
44. B,,,,
45. B,,,,
46. C,,,,
47. C,,,,
48. B,,,,
49. B,,,,
50. C,,,,
51. C,,,,
52. B,,,,
53. C,,,,
54. C,,,,
55. C,,,,
56. B,,,,
57. D,,,,
58. D,,,,
59. B,,,,
60. D 61. A,,,,
62. C,,,,
63. C,,,,
64. B,,,,
65. A,,,,
66. D,,,,
67. D,,,,
68. A,,,,
69. B,,,,
70. C,,,,
71. A,,,,
72. B,,,,
73. A,,,,
74. B,,,,
75. B,,,,
76. C,,,,
77. A,,,,
78. D,,,,
79. B,,,,
80. C,,,,
81. B 82. C,,,,
83. B,,,,
84. B,,,,
85. A,,,,
86. C,,,,
87. C,,,,
88. A,,,,
89. B,,,,
90. D,,,,
91. C,,,,
92. A,,,,
93. B,,,,
94. C,,,,
95. C,,,,
96. C,,,,
97. C,,,,
98. C,,,,
99. B,,,,
100.  C UTME 2012 USE OF ENGLISH QUESTIONS,PAPER TYPE: YELLOW,COMPREHENSION : Read each passage,carefully and answer the questions that follow,it
1. Which Question Paper Type of Uses of,English as indicated above is given to  you?,(a) Type Green,(b) Type Purple,(c) Type Red
"2. From the passage, one can say that all",ethnic groups  have,(a) different traditional religions with  some,elements of  similarities,(b) completely different religious  practices
"3. According to the first paragraph,  Nigerians",believe that  the,(a) supernatural and natural world  co-exist,(b) natural and supernatural worlds  are,antagonistic
4. Traditional religion has waned in  Nigeria,owing to  the,(a) influence of Islam over Bori  spirits,(b) influence of Christianity over local  oracles,(c) decline of the interest in traditional  religions
5. Which factor is common to all  traditional,religions as mentioned in the  passage?,(a) Prayer  only.,(b) Divination.,(c) Sacrifice  only.
6. It can be inferred from the passage  that,(a) Nigerians have access to foreign books  only,(b) Nigerian undergraduates do not read,textbooks,(c) Nigerians read foreign and indigenous
7. The reason for lack of indigenous books in,"most renowned bookshops, according to the","passage,",(a) Nigerians prefer reading foreign  books,(b) foreign books attracts more  buyers
8. The expre ssion  that earned her,"the award is profoundly gripping, as used in","the passage, means that the  book",(a) is highly interesting and captures  attention,(b) is of high quality to the  writer
9. The university science lecturer gives his,reason for issuing handouts  as,(a) lack of teaching aids among  students,(b) low purchasing  power,(c) low quality of  books
10. A suitable title for this passage  is,(a) Nigerian Literary  Writers,(b) Nigerian Publishers and International,Awards,(c) Poor reading Culture in  Nigeria
11. The attitude of the writer of the  passage,can best be described  as,(a) objective,(b) critical,(c) non-committal
12. It can be deduced from the passage  that,(a) all experiences are best  teachers,(b) learning through pains in  better,(c) experience is superior to  wisdom,(d) wise thoughts are more desirable  than
13. Which of the following states is  true,according to the  passage?,(a) man must make mistake in order to  survive,(b) The totality of our actions should  be,decided by our  judgement
"14. According to the passage, we be disciplined",to,(a) make experience our best teacher in  reality,(b) learn from experience in  future,(c) chose the learning opportunity that  comes
15. The phrase a complete and wholehearted,"devotion, as used in the passage,  means  (a) acting without  doubt",(b) learning with  tension,(c) learning without  pains,(d) teaching with  ease
"25. Immediately following each gap,  four",options are provided. Choose the most,appropriate options for each gap. Each,question carries 3  marks,The medical definition of miscarriage is the
26. Hardworking students must not have a,finger in very pie at  school.,(a) Hardworking students must not have a  role,to play in most activities in the  school,(b) Only hardworking students must participate
27. The vice chancellor is riding the crest of the,last quarter of his  administration.,(a) The vice chancellor enjoys the,acknowledgement of the success of his,administration
28. She was absolved by the course from the,charge.,(a) She was convicted for the  charge,(b) She was blamed and charged to  court (c) Her case was resolved by the  court,(d) She was declared free from the  charge
29. The landlord is fond of throwing his  weight,about,(a) The landlord likes healthy  exercise,(b) The landlord is  overweight,(c) The landlord gives orders to  people
30. The company ought to have issued,warrants for one billion  shares.,(a) The company has issued one billion shares,(b)The management expected the company to,issue more than one billion shares
31. He needed not to have played in the,position of quarterback in the volley  ball.,(a) He participated in the game in his  unusual,position,(b) Nobody expected him to have participated  in
"32. I wouldn’t have responded to his rude  talk,",if I were  you.,"(a) The advice was taken by the respondent,  so",he did not respond to the  talk,(b) The adviser put himself in the  respondent’s
33. He could not speak out because he had  a,feet o f clay.,(a) His feet was  muddy,(b) He was weak and  cowardly  (c) He was clumsy and  lazy,(d) He was shy and  timid
34. The player wasted a golden opportunity,during the penalty  shoot -out.,(a) The player first the  bar,(b) The player did not score the  shot,(c) The player scored the shot that made them
"35. As far as Abu is concerned, Mero should be",given fifty naira at the  most,(a) All Abu is saying is that Mero probably,deserves more than fifty naira and not less,(a) All Abu is concerned with is that Mero
"36. As an idiot, the boy is weak in class.",(a) a deviant,(b) a dunce,(c) an expert,(d) a genius
37. We were shocked by the news that he had,lost the  money.,(a) astonished,(b) disconcerted,(c) unconcerned
38. The principal was advised to be flexible on,critical  issues.,(a) livid,(b) cautious  (c) evasive,(d) rigid
39. Bola always looks  sober .,(a) excited,(b) serious,(c) worried,(d) helpless
40. Dupe was promoted for her  efficiency .,(a) ability,(b) incompetence,(c) inconsistency,(d) rudeness
41. The management wants to consider,her reticent behaviour in due  course.,(a) disapproving,(b) disciplinarian,(c) contemplative
42. Election process often become  volatile .,(a) calm,(b) strange,(c) sudden,(d) latent
43. Oche entered the principal’s office in a,rather abrasive  manner.,(a) gentle,(b) rude,(c) lackadaisical
44. Otokpa is a member of the ad,hoc committee on stock  acquisition.,(a) improvised,(b) formal,(c) temporary
45. His gift to the poor was,always  infinitesimal .,(a) large,(b) small (c) supportive,(d) shameful
46. The economist concluded that several,factors have been adduced to explain the fall  in,the birth  rate.,(a) affirmed,(b) diffused
47. The presidential system is an antidote to,some political  ailments.,(a) an answer,(b) a reply,(c) an injury
48. Ola thought that her father was,very callous .,(a) parlous,(b) compassionate,(c) wicked
"49. He was very much respected, though he",had no temporal  power.,(a) spiritual,(b) mundane,(c) permanent
50. The way the worship was organized  was,rather  hit-and-miss.,(a) systematic,(b) hasty,(c) slow
51. Some men will continue to cause offences,until they are given a taste of their own,medicine . (a) placated,(b) revenged  on,(c) recompensed  for
52. Okibe was rusticated  for,his derogated remark about the principal,(a) complimentary,(b) unsavoury,(c) unwarranted
53. Justice is difficult to enforce because people,are unwilling to accept any loss of  sovereignty .,(a) autonomy,(b) position,(c) leadership
54. There are still virtuous women in our,society  today.,(a) clever,(b) upright,(c) devilish
55. The type of response is typical of a lazy,teacher.,(a) symptomatic,(b) characteristic,(c) universal
56. Akin is an inveterate gambler.,(a) a selfish and  self-centred,(b) an extremely unlucky but  popular,(c) an incurable but  fearful,(d) a long time and incorrigible
57. He was too petrified to give the closing,remarks at the  conference.,(a) frightened,(b) delighted,(c) agitated
59. Every human being is vulnerable to,communicable  diseases.,(a) liable,(b) lifted,(c) immuned
60. Mariam looks rather furtive to Shehu.,(a) intoxicated,(b) unfriendly,(c) sad,(d) sly
61. The student’s union leader delivered  his,speech  extempore .,(a) out-of-hand,(b) off the  cuff,(c) accurately
62. His story gave us an inkling of what he,passed through during the  strike.,(a) a possible idea,(b) a taste,(c) a summary
63. These policies have been expoused by the,ruling  party.,(a) condemned,(b) rejected,(c) supported
64. We must not foreclose reconciliation as the,purpose of his  trip.,(a) exclude,(b) consider  (c) underestimate,(d) forgo
65. Her finding exploded widely held beliefs,about  learning.,(a) challenged,(b) debunked,(c) projected
"66. He was both a writer and a politician, but",he was better   [A. as if B. like C. as D. to be],a singer,,
67. Vacancies in the company will be  notified,by,[A. bulletin B. publication C. publicity D. adverti,sement].,
"68. The driver was short of petrol,  so he",[A. glided B. coasted  C. wheeled  D. taxied,down the hills with the engine switched  off.,,
69. He started his career as  an,[A. auxillary B. auxilliary C. auxilary B. auxiliar,y] teacher.,,
"70. His many years of success in l egal practice,",[A. indeed B. but C. in spite of  it,all D. however] didn’t come without challenges.,,
71. One should be  careful  how  behaves in,"the public,  shouldn’t",[A. one/one B. he/he C. she/one D. one/he]?,,
